Comments,Reviewer Name,,,,,,,
"placement for computer science students is awesome u get high package of 15-17 lac per anum average. civil engineering student are placed in some reputed institute like l&t,sapoorji pannoji,afcon etc. mtech placement are also good. u r some time selected in hihger studies in good institute like mit,standford etc. u feel good to work in this enviornment to study there.",HARSHIT AGARWAL,,,,,,,
My few friends were there who has been there to couple of NGO what they told that they have been unpaid and the experience which they got was good but the contents which they got on the website and actual things were not same,SHASHANK SHEKHAR,,,,,,,
"There are many Placement and job opportunities because most of the placement is incampus and that too with suitable pay. Yes, companies come in campus for internship interviews. Currently i am in second year so have not done any internship yet. But stipend depends on the company in which you get selected. Companies like adobe give 1 lac per month.",Vishesh Mongia,,,,,,,
"The placement and job opportunities are quite good for students of Mtech and Btech. Us Msc. students however did not get much benefit from camous placement. For that we had to clear GATE exam and then apply for PSU's separately.|Yes, our college provides internship. But instead of opting for that, I decided to continue my masters research in the time that was available between semesters as our main focus was to have good thesis.",Prachi Bhatia,,,,,,,
"Placement and job opportunities are good for several branches not for civil and mechanical, college will not help for them.if you are in Computer science there are more chances you got placed, so before choose college do some research.",Rahul Chauhan,,,,,,,
Placements are good. Many MNCs visit the college every year and there is almost 90% placement record of this college. Placement and training cell provides opportunities for students to get internships and jobs. It has good past records in placement.,Shivam,,,,,,,
"Yes the placements are good and the college also provides internships. I haven’t been part of it yet. But many big companies visit the college including Microsoft, Codenation, Amazon, Directi, Goldmann Sachs.",Rishi Sharma,,,,,,,
"Placwment of IIT are always the best .where aberage salaries of cs ,ee,mechand ce are about 15,8,9 and 9 lacs respecrively. Yeah mandi have ita location ndisadvamtages but placement scenerio is quite decent than pter private colleges or nits.",Gautam,,,,,,,
"Here placements and job opportunities are very high , approx 80-85% b.tech students are placed from every batch.
I am from 2nd year so not much known about placement.
And our college provide internship but I don't know much about it.",Rajan Kumar,,,,,,,
yes institute provide internship. Internship are provided by MHRD through college. But internship always credited late.,Anand Kumar,,,,,,,
"IIT Mandi had only three branches. Civil branch started in 2016 only. Package and opportunities follows: CSE > ME >= EE. In the top companies we have Amazon, Microsoft, flipkart and all. in 2015 one student also got placed in Google. Placement of ME and EE students in core companies is not up to the mark. Average is 10-11 lac for CSE and 6-8 lac for EE and ME.",Sakshama Ghoslya,,,,,,,
As being an IIT this college has a long list of recruiters offering good packages to students. Recently Flipkart offered 27 L to the selected students.|Very reputed and renown companies come and select students for internships. Stipend offered by them is also irresistible and give students economic supports.,Anand Kumar,,,,,,,
"I graduated in 2014 and their was an economic slump in India. During that time very company visited our campus for Mech recruitment. Altair offered 7LPA, Trident 9LPA and LnT offered 3 LPA. Recently I got to know a lot of companies visited like M&M, Tata etc. for mech.|During my time we did not get much offers because of Economic Slowdown. One company offered me an internship(Polaris Financial Technology) but when I went there, they directly refused it. So I had to work for some relatives and they were a certified company.",Knav,,,,,,,
"In 2015, Amazon visited campus who picked 10 students (5 PO + 5 PPO) @27 lpa domestic offer. Others were Microsoft, cognizant, TCS, tata motors, Eclerx etc. The off-campus placement highest was around 1.7 crore in google. Placement occurs in 7th sem, almost all the students were placed.|Yes, you have to contact personally with professors. The professors are helpful, and liberal. The stipend may vary according to your work done. The companies for placement and internship are same. They pick for both positions. like Amazon, Microsoft etc","Anil Kumar""Exodia the technical fest", Raneethi the sports fest and other fest like literally fest. We celebrate holi and other festivals in our campus. They are not that big considering the remote location and connectivity of the campus and compared to other IITs. But it manages to attract around 1000 students from North India every year.|Girls are less compared to boys, we can party in campus with prior permission. The LGBT community is not there in campus. There are hanful of debates, and other cultural activities which makes life easier in Himalayas. Students are from mainly Rajasthan, UP and South Indian. Few are from Himachal Pradesh too. The overall quality of students in master's program is not as per I have expected. Mostly students are Hindu. Almost 95 percent.|Very few companies comes for master's degree student. For maths companies like byju, tcs," and few analyst companies like decesion point visit the campus. About 10 percent of students got placed every from mathematics department. I got placed in TCS Research and Innovation Labs.""",Mantu Prasad Gupta
The location is beautiful. The campus is in development phase but will be complete very soon. The hostels are very good in comparison with other IIT's. Most of the work is done. There are two campus south and north. The south campus is complete and thw north campus is almost complete.,Student (Anonymous),,,,,,,
hostel are compulsory in this campus. as this campus is fully resendtial. u have not supposed to live outside this campus. mess food is not good there is two mess u have opted for one and each time u tear for your home food.,HARSHIT AGARWAL,,,,,,,
"Our college conduct hundreds of extracurricular activities such as We have our hiking and trekking club which takes us to different places for trekking. We have NSS club which conducts donations, visits to orphanages, old age homes, blind schools and contribute to social services. And we have all the sports in our campus such as football, cricket, hockey,basket etc. I would rate all of them a straight 5 out of 5.|There are many Placement and job opportunities because most of the placement is incampus and that too with suitable pay. Yes, companies come in campus for internship interviews. Currently i am in second year so have not done any internship yet. But stipend depends on the company in which you get selected. Companies like adobe give 1 lac per month.",Vishesh Mongia,,,,,,,
"Since the institute is still in its construction phase, All the hostel are new and are made with the newest technology. We did not face any problem in the accommodation throughput the degree. The only problem is the commute between two campuses (North and South) which is compensated by regular bus shedule.",Prachi Bhatia,,,,,,,
"Exodia, the annual tech-cult festival is the main festival on campus, followed by Rann-Neeti, the annual sports festival and many other Intra-college festivals keep happening from time to time.
To anyone you ask on campus on how's life at IIT Mandi, you'll get unanimous answer, ""Awesome"". I guess that describes it all.|The Placement Scenario at Indian Institute of Technology, [IIT] Mandi is quite good for CSE students, but it's very bad for EE and ME students. Almost all the CSE students have got placed in the year 2015. Same is the scene with Internship. Many known companies, such as Flipkart, Amazon, Microsoft visit the campus for CSE students (Internship and Placement), but very few core EE and ME companies visit the campus. Key companies that hire from our campus for the role of SDE/SDET include Flipkart, Amazon, Microsoft, Drishti-Soft, Samsung Research, Practo, Grofers.
Average Salary (per year) for CSE: Rs 11 lakhs per annum, ME : Rs 7 lakhs per annum, EE: Rs 7 lakhs per annum. Highest Salary for CSE: Rs 27.4 lakhs per annum (India). Percentage of CSE batch that got places: 98%|Each hostel has got a common room with almost every facility one can think of, TT tables, microwave, TV, etc. Currently more than 10 hostels are being used for the accommodation with 2 messes functioning. Hostels being built with updated technology and most luxurious facilities are one of the best parts of the campus.
Food is quite decent with daily diet costing only INR 98.",Dinesh,,,,,,,
"Gender ratio is worse. The max. gender ratio in B tech is 10% and the min is 5%. In M.S.C and M.S, PhD the gender ratio is quite good. IIT Mandi has setup all the labs to it's new campus and has all the required things there. This year they have made all the sports grounds. Capacity of the ground (no. of students who can play parallel) is not good enough right now. IIT Mandi seniors regularly organize technical competitions. Students from other colleges also participate in the events.|There are two banks in the campus SBI and PNB. Both of the banks provide loan facility only in the starting of the courses. Ex. If you are in 4 year B.Tech then in only first and second year you will have to apply for the loans. If you plan to go for loan in of after 3rd year then they will not provide you. Also 25% students awarded by scholarship everyone year (full tuition fees except is refunded).|Mess food is not up to the mark as per day mess charge is 100/-. Around 70% meals will be good. According to my 4 year of experience breakfast is the best meal there which is much better than outside Dhaba or restaurants. Quality or taste of food in lunch and dinner is not that good.
As IIT Mandi has shifted to it's new campus so it has very new hostels there. New hostels are more like beautiful hotels. Facilities in the hostels are far better than hotels. Microwave, Fully automatic washing machine, electric cattle, Cloths drier etc. on each floor. The most important is Every floor has a meeting room with the facility of projector and black board where 10-12 students can sit together. Hostels are designed in such a way that you will see natural lights coming every time. Every hostel has 3 floor only. The max. capacity of a hostel is 96 (2 sharing).",Sakshama Ghoslya,,,,,,,
"Gender ratios were pretty bad. We had 108 boys and 8 girls in entire batch and in Mech there were no girls. Hostel parties were quite often but between small groups. Our college has a lot of cultural socities and we have good workshops though they are not as good as Old IITs. Our campus was very tolerant, in my 4 years we never saw any conflict related to things you have mentioned.|I graduated in 2014 and their was an economic slump in India. During that time very company visited our campus for Mech recruitment. Altair offered 7LPA, Trident 9LPA and LnT offered 3 LPA. Recently I got to know a lot of companies visited like M&M, Tata etc. for mech.",Knav,,,,,,,
"Gender ration is poor. Approx(1:9 or 1:8). IITs are most diverse colleges in India. so you can always experience cultural differences. Extracurricular activities are above average. It's a new IIT. And it's the first one to shift in its permanent campus. So things are building There is no dearth of funds for clubs, programs and competitions.|In 2015, Amazon visited campus who picked 10 students (5 PO + 5 PPO) @27 lpa domestic offer. Others were Microsoft, cognizant, TCS, tata motors, Eclerx etc. The off-campus placement highest was around 1.7 crore in google. Placement occurs in 7th sem, almost all the students were placed.|IIT JEE 220/480 It has the best location in all IITs. The hill stations like Kullu-Manali, Shimla are close. I wanted to travel India. It seemed like a good place to start. It also has a beautiful campus.",Anil KumarI have opted for hostel. Hostel infrastructure is very good. I think this is the best hostel infrastructure you will get in any govt. college. Hostel rooms are very spacious.100 students live in a hostel. Hostel rooms are single double and triple bed rooms.,Kailash Kumar,,,,,,
The hostel infrastructure is really good. As it is a new IIT all hostels are almost new. We have a study room in each floor of the hostel which has almost 10 rooms. Since here is very cold in winter we have heaters available in the study room. Projectors are also available in each study room. Along with that we have a common room which has a led and a TT table for the entertainment.,Sanskar Gupta,,,,,,,
"Approximately in IIT Mandi 30hostels in the hostel two partners and three partners room one chair one table and one almirah per student, hostel game facilities, in the guest room sofa sets table and LCD TV chairs and extras",Arun Kumar,,,,,,,
"Hostel- 5 because hostels of our college are one of the best. We have automaticwashjng machines, electric kettle, microwave, induction and tabletennis or any other games you can name in every hostel
Infrastructure-4 As our college is in hills so it is difficult to construct but even then we have swimming pools, badmintn courts, football,cricket,Tennis ,Volley grounds.also we have libraries, canteens. And student building having dance and drama room, music room, Gymkhana office, STSC room etc.
Faculty-4
Out of 5",Vishesh Mongia,,,,,,,
"Each hostel has got a common room with almost every facility one can think of, TT tables, microwave, TV, etc. Currently more than 10 hostels are being used for the accommodation with 2 messes functioning. Hostels being built with updated technology and most luxurious facilities are one of the best parts of the campus.
Food is quite decent with daily diet costing only INR 98.",Dinesh,,,,,,,
"Mess food is not up to the mark as per day mess charge is 100/-. Around 70% meals will be good. According to my 4 year of experience breakfast is the best meal there which is much better than outside Dhaba or restaurants. Quality or taste of food in lunch and dinner is not that good.
As IIT Mandi has shifted to it's new campus so it has very new hostels there. New hostels are more like beautiful hotels. Facilities in the hostels are far better than hotels. Microwave, Fully automatic washing machine, electric cattle, Cloths drier etc. on each floor. The most important is Every floor has a meeting room with the facility of projector and black board where 10-12 students can sit together. Hostels are designed in such a way that you will see natural lights coming every time. Every hostel has 3 floor only. The max. capacity of a hostel is 96 (2 sharing).",Sakshama Ghoslya,,,,,,,
Mess Food is typical mess food nothing exceptional but North Indian person might not feel that bad but for South Indians there was a problem. Hostels were good and we stayed in triple sharing throughout our 4 years. Internet was quite bad though.,Knav,,,,,,,
"Yes, rooms are of triple sharing. The hostel provide all amenities like washing machines, refridgerator, oven, dryer, utensils, iron, induction top, electronic kettle in each hostel. All free of cost.",Mantu Prasad Gupta,,,,,,,
Yes around my college there's no private owned hostels or rooms for renting it's a hilly region so with beautiful scenery comes challenges not everyone faces but it's worth it because hostel accommodation is quite fancy and inexpensive at the same time they worth every penny.,Shubham Meena,,,,,,,
"The hostel infrastructure is great and better than the other IIT's I have been to. There are all the facilities like owen, iron,dryer,cooler etc. There is a common room too for tv and other activities.",Student (Anonymous),,,,,,,
hostel are compulsory in this campus. as this campus is fully resendtial. u have not supposed to live outside this campus. mess food is not good there is two mess u have opted for one and each time u tear for your home food.,HARSHIT AGARWAL,,,,,,,
My hostel fees are 18.5 thousand per semester ya it is okey but there is some changes can be done in food quality as it has been the same from couple of years there are changes made during the running semester,SHASHANK SHEKHAR,,,,,,,
"Since the institute is still in its construction phase, All the hostel are new and are made with the newest technology. We did not face any problem in the accommodation throughput the degree. The only problem is the commute between two campuses (North and South) which is compensated by regular bus shedule.",Prachi Bhatia,,,,,,,
Hostel and mess fees is very less. Hostel facility are best among other IITs and other colleges. It provides each and every single facility needed for good day to day life. Mess is also very hygeinique.,Shivam,,,,,,,
"Rs. 18500 Per semester includes everything. Hostel room, bed, curtains, cupboards, electricity, water, mess food, washrooms, washing machines and dryers. There is water cooler and RO water filter. Study rooms and common rooms in each hostel.",Rishi Sharma,,,,,,,
"Hostel has very modern infrastructure, it has all basic needs like as fan tube light washing machine dryer induction fridge vendiman common room study room lan cable wifi television etc.
And hostel rent is only 6500 for one semester (approx 4 months)",Rajan Kumar,,,,,,,
"The hostel provided are of international standard with a well-structured almirah, table, chair, and bed also with other basic facilities like irons, geysers.","Anand Kumar""The faculty are quite experienced in their own areas. They all are from IITs", IISER," and ISI. Most of the teachers were experienced and few are of young faculty. Most of them hold PhD and Post Doctoral from foreign Universities. They have less industrial experience through. Except 1-2. They have clear clarity of their respective research areas in Applied Mathematics.""",Mantu Prasad Gupta,,,,
Faculties in any IIT is well qualified and have deep knowledge about the course they teach in college. They have experience working in the industry as well as MNCs but the teaching method will vary from professor to professor some are old school type and just read PDF in class while some professors might actually impress you with the technical and practical knowledge about the courses and it's the application they might intrigue the spark an engineer desires to bring out the best in himself/herself and that's the best part about the professor they are not all the same and each of them will impact explicitly to your journey of IIT.,Shubham Meena,,,,,,,
Faculty are very good. Most are young and a few are very old. Most of them are assistant professors. All have Ph.D degree. Ther are very qualified and interested in teaching a particular course. They are very punctual.,Kailash Kumar,,,,,,,
Faculty are very good and teaches very well. Faculties are on time and very friendly. Most of the faculties are young with a few very old faculties. Most of them are assistant professor. They mostly depend on slide presentation for teaching.,Kailash Kumar,,,,,,,
Some faculties of my college are graduated from foreign universities and some from old iits. They are highly skilled and have a good amount of research experience. They inspire the students in the field of research.,Sanskar Gupta,,,,,,,
IIT Mandi teaching staff is very wonderful and most most eligible faculty staff different different departments of different different teaching faculties I like IIT Mandi faculties because they are very intelligent.,Arun Kumar,,,,,,,
faculty are from foreign university. good knoweldge good skill as well as good behaviors. but some ego problem are there in faculty. mainly there focus on demand of industry give practical examples of each problem. with good reaoning. and happy to ask question between them to get some clarity.,HARSHIT AGARWAL,,,,,,,
All faculty are very good some are little bit immature I would say in terms of experience but overall it is a good experience.There something is needed like they have joined new hence they need some couple of years for expertise.,SHASHANK SHEKHAR,,,,,,,
"Faculty of college is pretty good. All have qualifications from big institutes of world such as MIT, IIT etc. And they are pretty much experienced and they are also great in research work of their particular fields. So overall facult is very good.",Vishesh Mongia,,,,,,,
"The faculty was really good and supportive. There was an environment where we could reach up to them any time for their guidance and they never said no. Also, they gave us recommendations for the future.",Prachi Bhatia,,,,,,,
"Faculties are very knowledgeable here they are friendly. You should always touch with the faculty. They help in placement and internship, also in your projects. Project matters so you need faculties for guidance.",Rahul Chauhan,,,,,,,
Facility is like one of the topmost experienced professionals in India. They have very good knowledge of their subjects and have good industrial experience also. Faculty is like students friendly. Faculty is supportive.,Shivam,,,,,,,
Faculty is quite experienced and up to date. They are also very easily approachable which is not possible in many colleges. There are visiting faculties from older IITs and also abroad who take up courses for a semester.,Rishi Sharma,,,,,,,
"Faculties or iits are usually better tham amy cillege im India .the dwwp knowledge rhey have can never be underewtimated .
But the role of facultiew in our development is vert much less as what a faculty twaches remains in upto wemester and whqt uou gain by youeself will be eternwl amd help you throught the btech",Gautam,,,,,,,
"Faculty of this College is from two different schools, SE and SCEE named as School of Engineering and School of computing and electrical engineering.
Faculty are very high educated and taken degree from foreign colleges. Some faculties are very good in teaching, some are average in teaching.",Rajan Kumar,,,,,,,
"The faculty is quite good. They are very encouraging, along with that, they offer guidance and knowledge on various aspects. For teaching, they take us on various on-field operations.
So that we can learn big.
We often visited industries and. Teachers give notes on various concepts and along with it, they show some knowledgeable videos by which we can learn easily and big.",Dinesh,,,,,,,
"Worst among all the IITs, characterless, rude, unethical, all the works to be performed by teaching assistants which are research scholars. Institute lacks faculty and research scholars have to perform all the academic tasks of guide as well as teaching supervisor.",Anand Kumar,,,,,,,
If you compare the faculties of IIT Mandi with other IITs then it is average. Most of the professors did their PhD from good universities of world. IIT Mandi has lot's of young assistant professors. Also some of the professors are from older IITs and very experienced.,Sakshama Ghoslya,,,,,,,
College has a very good faculty profile in almost all the areas where research experience is long and valuable. This provides students to work in various areas and integrates findings in various fields for better outputs.,Anand Kumar,,,,,,,
Faculty for branches except Mech was good. Luckily we got some visiting faculty from other IITs but that was not enough. Only 1 or 2 permanent faculty in Mech is good.,Knav,,,,,,,
Faculty quality cannot be generalized as all types of teachers are there. There are a good number of professors who are retired and ready to build a new institute.,Anil Kumar,,,,,,,
